void,subject_id,segment,segment_number,mean_heart_rate,rsp_rate,rsp_peak_freq,resp_amp,rsp_power,mean_ibi,rsa,sdnn,avnn,rmssd,nn50,pnn50,filename
,1,A4,7,74.19,16.66,0.28,192.94,242.89,808.72,6.4,42.06,808.72,45.81,20,27.78,Subject 001 A4.xlsx
,1,A4,8,75.99,16.99,0.28,311.54,336.61,789.6,6.64,49.95,789.6,51.81,25,33.78,Subject 001 A4.xlsx
,1,A4,9,73.28,15.97,0.27,220.11,269.57,818.74,6.93,55.09,818.74,54.1,24,33.8,Subject 001 A4.xlsx
,1,A4,10,72.65,16.05,0.27,209.78,271.62,825.85,7.47,72.38,825.85,61.76,34,47.89,Subject 001 A4.xlsx
,2,A1,1,76.96,20.16,0.34,23.83,37.9,779.59,6.23,60.74,779.59,42.65,21,28,Subject 002 A1.xlsx
,2,A1,2,76.21,21.12,0.35,17.38,40.97,787.3,6.81,55.89,787.3,56.11,34,45.33,Subject 002 A1.xlsx
,2,A1,3,78.8,14.96,0.25,9.55,22.64,761.43,6.11,58.96,761.43,43.09,18,23.68,Subject 002 A1.xlsx
,2,A1,4,77.63,19.64,0.33,10.95,31.3,772.94,6.61,50,772.94,54.9,34,44.74,Subject 002 A1.xlsx
,2,A1,5,76.69,21.06,0.35,19.31,22.21,782.36,7.01,75.57,782.36,55.54,26,34.67,Subject 002 A1.xlsx
,2,A1,6,76.63,20.79,0.35,14.59,16.44,782.97,6.47,50.88,782.97,45.6,24,32.43,Subject 002 A1.xlsx
,2,A1,7,76.66,21.23,0.35,12.37,27.05,782.64,6.56,44.27,782.64,42.64,22,29.33,Subject 002 A1.xlsx
,2,A1,8,76.09,7.32,0.12,11.76,21.68,788.57,6.44,59.86,788.57,45.73,21,28.38,Subject 002 A1.xlsx
,2,A1,9,78.91,21.53,0.36,13.37,16.63,760.36,6.14,32.76,760.36,42.49,10,35.71,Subject 002 A1.xlsx
,2,A2,1,76.92,8.92,0.15,11.68,24.78,780.06,7.03,65.46,780.06,44.67,21,28,Subject 002 A2.xlsx
,2,A2,2,77.47,16.49,0.27,9.6,23.48,774.47,6.99,67.64,774.47,45.43,21,28,Subject 002 A2.xlsx
